"Numer porządkowy (a)","Nazwa chemiczna/INN (b)","Numer CAS (c)","Numer WE (d)"
"1","N-(5-chlorobenzoksazol-2-ilo)acetamid","35783-57-4",
"2","Wodorotlenek 2-acetoksyetylotrimetyloamoniowy (acetylocholina) i jego sole","51-84-3","200-128-9"
"3","Acetyloglutaminian deanolu (INN)","3342-61-8","222-085-5"
"4","Spironolakton (INN)","52-01-7","200-133-6"
"5","[Kwas (4-(4-hydroksy-3-jodofenoksy)-3,5-dijodofenylo]octowy (Tiratricol (INN)) i jego sole","51-24-1","200-086-1"
"6","Metotreksat (INN)","59-05-2","200-413-8"
"7","Kwas E-aminokapronowy (INN) i jego sole","60-32-2","200-469-3"
"8","Cinchofen (INN) oraz jego sole, pochodne i sole tych pochodnych","132-60-5","205-067-1"
"9","Kwas tyropropowy (INN) i jego sole","51-26-3",
"10","Kwas trichlorooctowy","76-03-9","200-927-2"
"11","Tojad mordownik Aconitum napellus L. (liście, korzenie i preparaty galenowe)","84603-50-9","283-252-6"
"12","Akonityna (główny alkaloid)Aconitum napellus L. i jej sole","302-27-2","206-121-7"
"13","Miłek wiosenny Adonis vernalis L. i jego preparaty","84649-73-0","283-458-6"
"14","Epinefryna (INN)","51-43-4","200-098-7"
"15","Alkaloidy Rauwolfii wężowej (Rauwolfia serpentina L.) i ich sole","90106-13-1","290-234-1"
"16","Alkinole oraz ich estry, etery i sole",,
"17","Izoprenalina (INN)","7683-59-2","231-687-7"
"18","Izotiocyjanian allilu","57-06-7","200-309-2"
"19","Alloklamid (INN) i jego sole","5486-77-1",
"20","Nalorfina (INN), jej sole i etery","62-67-9","200-546-1"
"21","Aminy sympatykomimetyczne, działające na centralny układ nerwowy: jakiekolwiek substancje wpisane na pierwszą listę leków, wydawane na receptę lekarską, zgodnie z rezolucjąRady Europy AP (69) 2","300-62-9","206-096-2"
"22","Anilina, jej sole oraz halogenowane i sulfonowane pochodne","62-53-3","200-539-3"
"23","Betoksykaina (INN) i jej sole","3818-62-0",
"24","Zoksazoloamina (INN)","61-80-3","200-519-4"
"25","Prokainamid (INN) oraz jego sole i pochodne","51-06-9","200-078-8"
"26","Benzydyna","92-87-5","202-199-1"
"27","Tuaminoheptan (INN), jego izomery i sole","123-82-0","204-655-5"
"28","Oktodryna (INN) i jej sole","543-82-8","208-851-1"
"29","2-amino-1,2-bis(4-metoksyfenylo)etanol i jego sole","530-34-7",
"30","1,3-dimetylopentanoamina i jej sole","105-41-9","203-296-1"
"31","Kwas 4-aminosalicylowy i jego sole","65-49-6","200-613-5"
"32","Toluidyny, ich izomery, sole i halogenowane oraz sulfonowane pochodne","26915-12-8","248-105-2"
"33","Dimetyloaniliny, ich izomery, sole i halogenowane oraz sulfonowane pochodne","1300-73-8","215-091-4"
"34","Imperatoryna 9-[(3-metylo-2-butenylo)oksy]-7H-furo[3,2-g][1]benzopiran-7-on","482-44-0","207-581-1"
"35","Aminek większy (Ammi majus L.) i jego preparaty galenowe","90320-46-0","291-072-4"
"36","2,3-dichloro-2-metylobutan","507-45-9",
"37","Substancje o działaniu androgennym",,
"38","Olej antracenowy","120-12-7","204-371-1"
"39","Antybiotyki",,
"40","Antymon i jego związki","7440-36-0","231-146-5"
"41","Toina konopiowata (Apocynum cannabinum L.) i jej preparaty","84603-51-0","283-253-1"
"42","Apomorfina i jej sole, ((R) 5,6,6a,7-tetrahydro-6-metylo-4H-dibenzo[de,g]-chinolino-10,11-diol)","58-00-4","200-360-0"
"43","Arsen i jego związki","7440-38-2","231-148-6"
"44","Pokrzyk wilcza jagoda (Atropa belladonna L.) i jego preparaty","8007-93-0","232-365-9"
"45","Atropina, jej sole i pochodne","51-55-8","200-104-8"
"46","Sole baru, z wyjątkiem siarczku baru, na warunkach określonych w załączniku III, a także siarczanu baru, laków, soli i pigmentów przygotowanych z barwników, o ile sąone wymienione w załączniku IV",,
"47","Benzen","71-43-2","200-753-7"
"48","Benzimidazol-2(3H)-on","615-16-7","210-412-4"
"49","Benzoazepiny i benzodiazepiny","12794-10-4",
"50","Benzoesan 1-dimetyloaminometylo-1-metylopropylu (amylokaina) i jego sole","644-26-8","211-411-1"
"51","Benzoesan 2,2,6-trimetylo-4-piperydylu (eukaina) i jego sole","500-34-5",
"52","Izokarboksazyd (INN)","59-63-2","200-438-4"
"53","Bendroflumetiazyd (INN) i jego pochodne","73-48-3","200-800-1"
"54","Beryl i jego związki","7440-41-7","231-150-7"
"55","Brom (wolny)","7726-95-6","231-778-1"
"56","Tosylan bretylium (INN)","61-75-6","200-516-8"
"57","Karbromal (INN)","77-65-6","201-046-6"
