"Numer porządkowy (a)","Nazwa chemiczna/INN (b)","Nazwa w słowniku wspólnych nazw składników (c)","Nr CAS (d)","Nr WE (e)","Rodzaj produktu, części ciała (f)","Maksymalne stężenie w preparacie gotowym do użycia (g)","Inne (h)","Warunki i ostrzeżenia na opakowaniach (i)"
"2a","Kwas tioglikolowy i jego sole","Thioglycolic acid","68-11-1","200-677-4","a) Produkty do trwałej ondulacji lub prostowania włosów <br>b) Depilatory <br>c) Inne spłukiwane produkty do włosów <br>d) Produkty przeznaczone do trwałej ondulacji rzęs","a) <br>(i) 8 % <br>(ii) 11 % <br>b) 5 % <br>c) 2 % <br>d) 11 % <br>Powyższe wartości procentowe wyrażone sąw przeliczeniu na kwas tioglikolowy","a) <br>(i) Stosowanie ogólne w wyrobie gotowym o pH 7–9,5 <br>(ii) Stosowanie profesjonalne w wyrobie gotowym o pH 7–9,5 <br>b) w wyrobie gotowym o pH 7-12,7 <br>c) w wyrobie gotowym o pH 7-9,5 <br>d) Do użytku profesjonalnego w wyrobie gotowym o pH 7–9,5","Warunki stosowania: <br>a) b) c) d) <br>Unikać kontaktu z oczami. <br>W przypadku dostania się preparatu do oczu natychmiast przepłukać je wodą. <br>a) c) d) <br>Stosować rękawice ochronne. <br>Na etykiecie należy wydrukować następujące ostrzeżenia: <br>a)(i) b) c) <br>Zawiera tioglikolany. <br>Stosować zgodnie ze sposobem użycia. <br>Chronić przed dziećmi. <br>a)(ii) d) <br>Tylko do użytku profesjonalnego. <br>Zawiera tioglikolany. <br>Stosować zgodnie ze sposobem użycia."
"2b","Estry kwasu tioglikolowego",,,,"Produkty do trwałej ondulacji lub prostowania włosów","a) 8 % <br>b) 11 % <br>Powyższe wartości procentowe wyrażone sąw przeliczeniu na kwas tioglikolowy","a) Stosowanie ogólne w wyrobie gotowym o pH 6-9,5 <br>b) Stosowanie profesjonalne w wyrobie gotowym o pH 6-9,5","Warunki stosowania: <br>a) b) Przy kontakcie ze skórąmoże powodować reakcję alergiczną. <br>Unikać kontaktu z oczami. <br>W przypadku dostania się preparatu do oczu natychmiast przepłukać dużą ilością wody i skontaktować się z lekarzem. <br>Stosować rękawice ochronne. <br>Ostrzeżenia: <br>Zawiera tioglikolany. <br>Stosować zgodnie ze sposobem użycia. <br>Chronić przed dziećmi <br>b) Tylko do użytku profesjonalnego"
"3","Kwas szczawiowy, jego estry i sole zasadowe","Oxalic acid","144-62-7","205-634-3","Produkty do włosów","5 %","Stosowanie profesjonalne","Tylko do użytku profesjonalnego"
"4","Amoniak","Ammonia","7664-41-7/1336-21-6","231-635-3/215-647-6",,"6 % (w przeliczeniu na NH<sub>3</sub>)",,"Powyżej 2 %. Zawiera amoniak"
"5","Tosylochloramid sodu (INN)","Chloramine-T","127-65-1","204-854-7",,"0,2 %",,
"6","Chlorany metali alkalicznych","Sodium chlorate <br>Potassium chlorate","7775-09-9 <br>3811-04-9","231-887-4 <br>223-289-7","a) Pasty do zębów <br>b) Pozostałe produkty","a) 5 % <br>b) 3 %",,
"8","N-podstawione pochodne p-fenylenodiaminy i ich sole; N-podstawione pochodne o-fenylenodiaminy <sup><span class='text-info' data-bs-toggle='tooltip' data-bs-title='Te substancje stosuje się pojedynczo lub w połączeniach, pod warunkiem że suma współczynników zawartości każdego z nich w danym produkcie kosmetycznym, wyrażona w odniesieniu do maksymalnej dopuszczalnej zawartości każdego z nich, nie przekroczy 1.'>(1)</span></sup>, z wyjątkiem pochodnych wymienionych w pozostałej części niniejszego załącznika oraz pod numerami porządkowymi 1309, 1311 i 1312 w załączniku II",,,,"Substancja do farbowania włosów w utleniających produktach do farbowania włosów",,"a) Stosowanie ogólne <br>b) Stosowanie profesjonalne <br>Dla a) i b): Po zmieszaniu w warunkach utleniających maksymalne stężenie stosowane na włosy nie może przekraczać 3 % w przeliczeniu na wolną zasadę","a) Na etykiecie należy wydrukować: <br>Stosunek zmieszania <br>„<i class='bi bi-exclamation-triangle piktogram'></i> Barwniki do włosów mogą wywoływać silne reakcje alergiczne. <br>Proszę przeczytać instrukcje i przestrzegać ich. <br>Produkt nie jest przeznaczony dla osób poniżej 16. roku życia. <br>Tymczasowe tatuaże na bazie czarnej henny mogą zwiększyć ryzyko wystąpienia alergii. <br>Nie farbować włosów, jeśli: <br>— na twarzy występuje wysypka lub skóra głowy jest wrażliwa, podrażniona i uszkodzona, <br>— kiedykolwiek wystąpiła reakcja na farbowanie włosów, <br>— w przeszłości wystąpiła reakcja na tymczasowy tatuaż na bazie czarnej henny. <br>Zawiera fenylenodiaminy. <br>Nie stosować do barwienia brwi i rzęs” <br>b) Na etykiecie należy wydrukować: <br>Stosunek zmieszania <br>„Tylko do użytku profesjonalnego <br><i class='bi bi-exclamation-triangle piktogram'></i> Barwniki do włosów mogą wywoływać silne reakcje alergiczne. <br>Proszę przeczytać instrukcje i przestrzegać ich. <br>Produkt nie jest przeznaczony dla osób poniżej 16. roku życia. <br>Tymczasowe tatuaże na bazie czarnej henny mogą zwiększyć ryzyko wystąpienia alergii. <br>Nie farbować włosów, jeśli: <br>— na twarzy występuje wysypka lub skóra głowy jest wrażliwa, podrażniona i uszkodzona, <br>— kiedykolwiek wystąpiła reakcja na farbowanie włosów, <br>— w przeszłości wystąpiła reakcja na tymczasowy tatuaż na bazie czarnej henny. <br>Zawiera fenylenodiaminy. <br>Stosować rękawice ochronne”"
"8a","p-fenylenodiamina i jej sole","p-Phenylenediamine <br>p-Phenylenediamine HCl <br>p-Phenylenediamine Sulphate","106-50-3 / 624-18-0 / 16245-77-5","203-404-7 / 210-834-9 / 240-357-1","Substancja do farbowania włosów w utleniających produktach do farbowania włosów",,"a) Stosowanie ogólne <br>b) Stosowanie profesjonalne <br>Dla a) i b): Po zmieszaniu w warunkach utleniających maksymalne stężenie stosowane na włosy nie może przekraczać 2 % w przeliczeniu na wolną zasadę","a) Na etykiecie należy wydrukować: <br>Stosunek zmieszania <br>„<i class='bi bi-exclamation-triangle piktogram'></i> Barwniki do włosów mogą wywoływać silne reakcje alergiczne. <br>Proszę przeczytać instrukcje i przestrzegać ich. <br>Produkt nie jest przeznaczony dla osób poniżej 16. roku życia. <br>Tymczasowe tatuaże na bazie czarnej henny mogą zwiększyć ryzyko wystąpienia alergii. <br>Nie farbować włosów, jeśli: <br>— na twarzy występuje wysypka lub skóra głowy jest wrażliwa, podrażniona i uszkodzona, <br>— kiedykolwiek wystąpiła reakcja na farbowanie włosów, <br>— w przeszłości wystąpiła reakcja na tymczasowy tatuaż na bazie czarnej henny. <br>Zawiera fenylenodiaminy. <br>Nie stosować do barwienia brwi i rzęs” <br>b) Na etykiecie należy wydrukować: <br>Stosunek zmieszania. <br>„Tylko do użytku profesjonalnego <br><i class='bi bi-exclamation-triangle piktogram'></i> Barwniki do włosów mogą wywoływać silne reakcje alergiczne. <br>Proszę przeczytać instrukcje i przestrzegać ich. <br>Produkt nie jest przeznaczony dla osób poniżej 16. roku życia. <br>Tymczasowe tatuaże na bazie czarnej henny mogą zwiększyć ryzyko wystąpienia alergii. <br>Nie farbować włosów, jeśli: <br>— na twarzy występuje wysypka lub skóra głowy jest wrażliwa, podrażniona i uszkodzona, <br>— kiedykolwiek wystąpiła reakcja na farbowanie włosów, <br>— w przeszłości wystąpiła reakcja na tymczasowy tatuaż na bazie czarnej henny. <br>Zawiera fenylenodiaminy. <br>Stosować rękawice ochronne”"
"8b","p-fenylenodiamina i jej sole","p-Phenylenediamine <br>p-Phenylenediamine HCl <br>p-Phenylenediamine Sulphate","106-50-3 / 624-18-0 / 16245-77-5","203-404-7 / 210-834-9 / 240-357-1","Produkty przeznaczone do barwienia rzęs",,"Po zmieszaniu w warunkach utleniających maksymalne stężenie stosowane na rzęsy nie może przekraczać 2 % w przeliczeniu na wolna zasadę. Tylko do użytku profesjonalnego.","Na etykiecie należy wydrukować: <br>Stosunek zmieszania <br>„Tylko do użytku profesjonalnego <br><i class='bi bi-exclamation-triangle piktogram'></i> Produkt może wywoływać silne reakcje alergiczne. <br>Proszę przeczytać instrukcje i przestrzegać ich. <br>Produkt nie jest przeznaczony dla osób poniżej 16 roku życia. <br>Tymczasowe tatuaże na bazie czarnej henny mogą zwiększyć ryzyko wystąpienia alergii. <br>Nie należy farbować rzęs, jeżeli: <br>— na twarzy występuje wysypka lub skóra głowy jest wrażliwa, podrażniona i uszkodzona, <br>— kiedykolwiek wystąpiła reakcja na farbowanie włosów lub rzęs, <br>— w przeszłości wystąpiła reakcja na tymczasowy tatuaż na bazie czarnej henny. <br>W przypadku dostania się preparatu do oczu natychmiast przepłukać je wodą. <br>Zawiera fenylenodiaminy. <br>Stosować rękawice ochronne.”"
"8c","2,2′-[(2-nitro-1,4-fenyleno)diimino]bis-(9CI)-etanol","N,N'-Bis(2-Hydroxyethyl)-2-Nitro-p-Phenylenediamine","84041-77-0","281-856-4","a) Substancja do farbowania włosów w utleniających produktach do farbowania włosów <br>b) Substancja do farbowania włosów w nieutleniających produktach do farbowania włosów","b) Od dnia 3 września 2017 r.: 1,5 %","a) Od dnia 3 września 2017 r., po zmieszaniu w warunkach utleniających maksymalne stężenie stosowane na włosy nie może przekraczać 1,0 % <br>Dla a) i b) od dnia 3 września 2017 r.: <br>— Nie używać z czynnikami nitrozującymi <br>— Maksymalna zawartość nitrozoaminy: 50 μg/kg <br>— Przechowywać w pojemnikach niezawierających azotynów","a) Od dnia 3 marca 2018 r. na etykiecie należy wydrukować: <br>Stosunek zmieszania <br>„<i class='bi bi-exclamation-triangle piktogram'></i> Barwniki do włosów mogą wywoływać silne reakcje alergiczne. <br>Proszę przeczytać instrukcje i przestrzegać ich. <br>Produkt nie jest przeznaczony dla osób poniżej 16 roku życia. <br>Tymczasowe tatuaże na bazie czarnej henny mogą zwiększyć ryzyko wystąpienia alergii. <br>Nie farbować włosów, jeśli: <br>— na twarzy występuje wysypka lub skóra głowy jest wrażliwa, podrażniona i uszkodzona, <br>— kiedykolwiek wystąpiła reakcja na farbowanie włosów, <br>— w przeszłości wystąpiła reakcja na tymczasowy tatuaż na bazie czarnej henny.”"
