"Nr porządkowy (a)","Nazwa chemiczna (b)","Numer/nazwa wg wykazu barwników zawartego w słowniku (c)","Nr CAS (d)","Nr WE (e)","Kolor (f)","Rodzaj produktu, części ciała (g)","Maksymalne stężenie w preparacie gotowym do użycia (h)","Inne (i)","Brzmienie warunków stosowania i ostrzeżeń (j)"
"1","Tris(1,2-naftochinono 1-oksymato-O,O')żelazian(1-) sodu","10006",,,"Zielony","Produkty spłukiwane",,,
"2","Tris[5,6-dihydro-5-(hydroksyimino)-6-oksonaftaleno-2-sulfoniano(2-)-N5,O6]żelazian(3-) trisodu","10020",,,"Zielony","Nie stosować w produktach stosowanych na błony śluzowe",,,
"3","5,7-dinitro-8-oksydonaftaleno-2-sulfonian disodu i jego nierozpuszczalne laki, sole i pigmenty barowe, strontowe i cyrkonowe","10316",,,"Żółty","Nie stosować w produktach do oczu",,,
"4","2-[(4-metylo-2-nitrofenylo)azo]-3-okso-N-fenylobutyramid","11680",,,"Żółty","Nie stosować w produktach stosowanych na błony śluzowe",,,
"5","2-[(4-chloro-2-nitrofenylo)azo]-N-(2-chlorofenylo)-3-oksobutyramid","11710",,,"Żółty","Nie stosować w produktach stosowanych na błony śluzowe",,,
"6","2-[(4-metoksy-2-nitrofenylo)azo]-3-okso-N-(o-tolilo)butyramid","11725",,,"Pomarańczowy","Produkty spłukiwane",,,
"7","4-(fenyloazo)rezorcynol","11920",,,"Pomarańczowy",,,,
"8","4-[(4-etoksyfenylo)azo]naftol","12010",,,"Czerwony","Nie stosować w produktach stosowanych na błony śluzowe",,,
"9","1-[(2-chloro-4-nitrofenylo)azo]-2-naftol i jego nierozpuszczalne laki, sole i pigmenty barowe, strontowe i cyrkonowe","12085",,,"Czerwony",,"3 %",,
"10","1-[(4-metylo-2-nitrofenylo)azo]-2-naftol","12120",,,"Czerwony","Produkty spłukiwane",,,
"11","3-hydroksy-N-(o-tolilo)-4-[(2,4,5-trichlorofenylo)azo]naftaleno-2-karboksamid","12370",,,"Czerwony","Produkty spłukiwane",,,
"12","N-(4-chloro-2-metylofenylo)-4-[(4-chloro-2-metylofenylo)azo]-3-hydroksynaftaleno-2-karboksamid","12420",,,"Czerwony","Produkty spłukiwane",,,
"13","4-[(2,5-dichlorofenylo)azo]-N-(2,5-dimetoksyfenylo)-3-hydroksynaftaleno-2-karboksamid","12480",,,"Brązowy","Produkty spłukiwane",,,
"14","N-(5-chloro-2,4-dimetoksyfenylo)-4-[[5-[(dietyloamino)sulfonylo]-2-metoksyfenylo]azo]-3-hydroksynaftaleno-2-karboksamid","12490",,,"Czerwony",,,,
"15","2,4-dihydro-5-metylo-2-fenylo-4-(fenylaozo)-3H-pirazol-3-on","12700",,,"Żółty","Produkty spłukiwane",,,
"16","2-amino-5-[(4-sulfonianofenylo)azo]benzenosulfonian disodu","13015",,,"Żółty",,,,
"17","4-(2,4-dihydroksyfenyloazo) benzenosulfonian sodu","14270",,,"Pomarańczowy",,,,
"18","3-[(2,4-dimetylo-5-sulfonianofenylo)azo]-4-hydroksynaftaleno-1-sulfonian disodu","14700",,,"Czerwony",,,,
"19","4-hydroksy-3-[(4-sulfonianonaftylo)azo]naftalenosulfonian disodu","14720",,"222-657-4","Czerwony",,,"Wymagana czystość – zgodnie z dyrektywąKomisji 95/45/WE (E 122)",
"20","6-[(2,4-dimetylo-6-sulfonianofenylo)azo]-5-hydroksynaftaleno-1-sulfonian disodu","14815",,,"Czerwony",,,,
"21","4-[(2-hydroksy-1-naftylo)azo]benzenosulfonian sodu i jego nierozpuszczalne laki, sole i pigmenty barowe, strontowe i cyrkonowe","15510",,,"Pomarańczowy","Nie stosować w produktach do oczu",,,
"22","Bis[2-chloro-5-[(2-hydroksy-1-naftylo)azo]-4-sulfonianobenzoesan] wapniowo-disodowy","15525",,,"Czerwony",,,,
"23","Bis[4-[(2-hydroksy-1-naftylo)azo]-2-metylobenzenosulfonian] baru","15580",,,"Czerwony",,,,
"24","4-[(2-hydroksy-1-naftylo)azo]naftalenosulfonian sodu","15620",,,"Czerwony","Produkty spłukiwane",,,
"25","2-[(2-hydroksynaftylo)azo]naftalenosulfonian sodu i jego nierozpuszczalne laki, sole i pigmenty barowe, strontowe i cyrkonowe","15630",,,"Czerwony",,"3 %",,
"26","Bis[3-hydroksy-4-(fenyloazo)-2-naftolan] wapnia","15800",,,"Czerwony","Nie stosować w produktach stosowanych na błony śluzowe",,,
"27","3-hydroksy-4-[(4-metylo-2-sulfonianofenylo)azo]-2-naftolan disodu i jego nierozpuszczalne laki, sole i pigmenty barowe, strontowe i cyrkonowe","15850",,"226-109-5","Czerwony",,,"Wymagana czystość – zgodnie z dyrektywąKomisji 95/45/WE (E 180)",
"28","4-[(5-chloro-4-metylo-2-sulfonianofenylo)azo]-3-hydroksy-2-naftolan disodu i jego nierozpuszczalne laki, sole i pigmenty barowe, strontowe i cyrkonowe","15865",,,"Czerwony",,,,
"29","3-hydroksy-4-[(1-sulfoniano-2-naftylo)azo]-2-naftolan wapnia","15880",,,"Czerwony",,,,
"30","6-hydroksy-5-[(3-sulfonianofenylo)azo]naftaleno-2-sulfonian disodu","15980",,,"Pomarańczowy",,,,
