"Numer porządkowy (a)","Nazwa chemiczna/INN (b)","Nazwa w glosariuszu wspólnych nazw składników (c)","Nr CAS (d)","Nr WE (e)","Rodzaj produktu, części ciała (f)","Maksymalne stężenie w preparacie gotowym do użycia (g)","Inne (h)","Określenie warunków stosowania i ostrzeżeń (i)"
"1","Kwas benzoesowy i jego sól sodowa","Benzoic acid <br>Sodium Benzoate","65-85-0 532-32-1","200-618-2 208-534-8","a) Produkty spłukiwane z wyjątkiem produktów do jamy ustnej <br>b) Produkty do jamy ustnej <br>c) Produkty niespłukiwane","a) 2,5 % (kwas) <br>b) 1,7 % (kwas) <br>c) 0,5 (kwas)",,
"1a","Sole kwasu benzoesowego inne niż wymienione pod numerem porządkowym 1 oraz estry kwasu benzoesowego","Ammonium benzoate <br>calcium benzoate <br>potassium benzoate <br>magnesium benzoate <br>MEA-benzoate <br>methyl benzoate <br>ethyl benzoate <br>propyl benzoate <br>butyl benzoate <br>isobutyl benzoate <br>isopropyl benzoate <br>phenyl benzoate","1863-63-4, 2090-05-3, 582-25-2, 553-70-8, 4337-66-0, 93-58-3, 93-89-0, 2315-68-6, 136-60-7, 120-50-3, 939-48-0, 93-99-2","217-468-9, 218-235-4, 209-481-3, 209-045-2, 224-387-2,202-259-7, 202-284-3, 219-020-8, 205-252-7, 204-401-3, 213-361-6, 202-293-2",,"0,5 (kwas)",,
"2","Kwas propionowy i jego sole","Propionic acid <br>ammonium propionate <br>calcium propionate <br>magnesium propionate <br>potassium propionate <br>sodium propionate","79-09-4, 17496-08-1, 4075-81-4, 557-27-7, 327-62-8, 137-40-6","201-176-3, 241-503-7, 223-795-8, 209-166-0, 206-323-5, 205-290-4",,"2 % (kwas)",,
"3","Kwas salicylowy (1) i jego sole","a) Salicylic acid <br>b) Calcium salicylate, magnesium salicylate, MEA- salicylate, sodium salicylate, potassium salicylate, TEA- salicylate","a) 69-72-7 <br>b) 824-35-1, 18917-89-0, 59866- 70-5, 54-21-7, 578-36-9, 2174-16-5","a) 200-712-3 <br>b) 212-525-4, 242-669-3, 261-963-2, 200-198-0, 209-421-6, 218-531-3",,"0,5 % (kwas)","a) <br>Nie stosować w produktach dla dzieci poniżej 3 lat. <br>Nie stosować w produktach do jamy ustnej. <br>Nie do zastosowań, które mogąprowadzić do narażenia płuc użytkownika końcowego na kontakt poprzez wdychanie. <br>b) Nie stosować w produktach dla dzieci poniżej 3 lat, z wyjątkiem szamponów.","a) Nie stosować dla dzieci poniżej 3 lat (12) <br>b) Nie stosować dla dzieci poniżej 3 lat (2)"
"4","Kwas heksa-2,4-dienodiowy i jego sole","Sorbic acid <br>calcium sorbate <br>sodium sorbate <br>potassium sorbate","110-44-1, 7492-55-9, 7757-81-5, 24634-61-5","203-768-7, 231-321-6, 231-819-3, 246-376-1",,"0,6 % (kwas)",,
"7","Bifenyl-2-ol (19)","o-Phenylphenol","90-43-7","201-993-5","a) Produkty spłukiwane <br>b) Produkty niespłukiwane","a) 0,2 % (w przeliczeniu na fenol) <br>b) 0,15 % (w przeliczeniu na fenol)",,"Unikać kontaktu z oczami"
"9","Nieorganiczne siarczyny i wodorosiarczyny (5)","Sodium sulfite <br>ammonium bisulfite <br>ammonium sulfite <br>potassium sulfite <br>potassium hydrogen sulfite <br>sodium bisulfite <br>sodium metabisulfite <br>potassium metabisulfite","7757-83-7, 10192-30-0, 10196-04-0, 10117-38-1, 7773-03-7, 7631-90-5, 7681-57-4, 16731-55-8","231-821-4, 233-469-7, 233-484-9, 233-321-1, 231-870-1, 231-548-0, 231-673-0, 240-795-3",,"0,2 % (w przeliczeniu nauwolniony SO2)",,
"11","Chlorobutanol","Chlorobutanol","57-15-8","200-317-6",,"0,5 %","Nie stosować w produktach aerozolowych","Zawiera Chlorobutanol"
"12","Kwas 4-hydroksybenzoesowy oraz jego estry metylowe i etylowe i ich sole","4-Hydroxybenzoic acid <br>methylparaben <br>potassium ethylparaben <br>potassium paraben <br>sodium methylparaben <br>sodium ethylparaben <br>ethylparaben <br>sodium paraben <br>potassium methylparaben <br>calcium paraben","99-96-7 <br>99-76-3 <br>36457-19-9 <br>16782-08-4 <br>5026-62-0 <br>35285-68-8 <br>120-47-8 <br>114-63-6 <br>26112-07-2 <br>69959-44-0","202-804-9 <br>202-785-7 <br>253-048-1 <br>240-830-2 <br>225-714-1 <br>252-487-6 <br>204-399-4 <br>204-051-1 <br>247-464-2 <br>274-235-4",,"0,4 % (kwas) dla pojedynczego estru <br>0,8 % (kwas) dla mieszaniny estrów",,
"12a","4-hydroksybenzoesan butylu i jego sole 4-hydroksybenzoesan propylu i jego sole","Butylparaben <br>Propylparaben <br>Sodium propylparaben <br>Sodium butylparaben <br>Potassium butylparaben <br>Potassium propylparaben","94-26-8 <br>94-13-3 <br>35285-69-9 <br>36457-20-2 <br>38566-94-8 <br>84930-16-5","202-318-7 <br>202-307-7 <br>252-488-1 <br>253-049-7 <br>254-009-1 <br>284-597-5",,"0,14 % (kwas) dla sumy poszczególnych stężeń 0,8 % (kwas) dla mieszaniny substancji, o których mowa w pozycji 12 i 12a, gdy suma poszczególnych stężeń parabenu butylowego i parabenu propylowego i ich soli nie przekracza 0,14 %","Nie stosować w produktach niespłukiwanych, przeznaczonych do nakładania na skórę na obszarze przykrytym pieluch u dzieci poniżej 3 roku życia.","Produkty niespłukiwane przeznaczone dla dzieci poniżej 3 roku życia: <br>„Nie stosować w okolicach podpieluszkowych”"
"13","3-acetylo-6-metylopirano-2,4(3H)-dion i jego sole","Dehydroacetic acid <br>Sodium dehydroacetate","520-45-6, 4418-26-2, 16807-48-0","208-293-9, 224-580-1",,"0,6 % (kwas)","Nie stosować w produktach aerozolowych",
"14","Kwas mrówkowy i jego sól sodowa","Formic acid <br>sodium formate","64-18-6, 141-53-7","200-579-1, 205-488-0",,"0,5 % (kwas)",,
"15","3,3'-dibromo-4,4'-heksametyleno-dioksybenzamidyna i jej sole (łącznie z izotionianem)","Dibromohexamidine Isethionate","93856-83-8","299-116-4",,"0,1 %",,
"16","Tiomersal","Thimerosal","54-64-8","200-210-4","Produkty do oczu","0,007 % (w przeliczeniu na rtęć) W mieszaninie z innymi związkami rtęci dozwolonymi niniejszym rozporządzeniem, maksymalne stężenie rtęci pozostaje stałe na poziomie 0,007 %",,"Zawiera tiomersal"
"17","Sole fenylortęciowe (w tym borany)","Phenyl Mercuric Acetate <br>Phenyl Mercuric Benzoate","62-38-4, 94-43-9","200-532-5, 202-331-8","Produkty do oczu","0,007 % (w przeliczeniu na rtęć) W mieszaninie z innymi związkami rtęci dozwolonymi niniejszym rozporządzeniem, maksymalne stężenie rtęci pozostaje stałe na poziomie 0,007 %",,"Zawiera związki fenylortęciowe"
"18","Kwas undec-10-enowy i jego sole","Undecylenic acid <br>potassium undecylenate <br>sodium undecylenate <br>calcium undecylenate <br>TEA-undecylenate <br>MEA-undecylenate","112-38-9, 6159-41-7, 3398-33-2, 1322-14-1, 84471-25-0, 56532-40-2","203-965-8, 222-264-8, 215-331-8, 282-908-9, 260-247-7",,"0,2 % (kwas)",,
"19","5-pirimidynamina, 1,3-bis(2-etyloheksylo)heksahydro-5-metylo-","Hexetidine","141-94-6","205-513-5",,"0,1 %",,
