"Numer porz? dkowy","Określenie substancji","Warunki","Określenie warunków stosowania i ostrzeżeń"
"Nazwa chemiczna/INN/XAN","Nazwa w glosariuszu wspólnych nazw składników","Nr CAS","Nr WE","Rodzaj produktu, części ciała","Maksymalne stężenie w preparacie gotowym do użycia","Inne"
"a","b","c","d","e","f","g","h","i"
"▼M1"
"1","","","","","","","",""
"▼B"
"2","Metylosiarczan N,N,N-trimetylo-4-(2-oksoborn-3-ylidenometylo) aniliny","Camphor Benzalkonium Methosulfate","52793-97-2","258-190-8","","6 %","",""
"▼M47"
"3","Kwas benzoesowy, 2-hydroksy-, ester 3,3,5-trimetylocykloheksylowy/Homosalate (9)","Homosalate","118-56-9","204-260-8","Produkty do twarzy, z wyj? tkiem produktów w sprayu z propelentami","7,34 %","",""
"▼M44"
"4","2-hydroksy-4-metoksy benzofenon/Oxybenzone (7)","Benzophenone-3","131-57-7","205-031-5","a) Produkty do twarzy, produkty do r? k i produkty do warg, z wył? czeniem produktów w sprayu w rozpylaczu lub z pompk? b) Produkty do pielęgnacji ciała, w tym produkty w sprayu w rozpylaczu lub z pompk? c) Pozostałe produkty","a) 6 % b) 2,2 % c) 0,5 %","W przypadku a) i b) nie więcej niż 0,5 % na potrzeby ochrony składu produktu a) Jeżeli stosuje się 0,5 % w celu ochrony składu produktu, poziomy stosowane jako filtr UV nie mog? przekraczać 5,5 %. b) Jeżeli stosuje się 0,5 % w celu ochrony składu produktu, poziomy stosowane jako filtr UV nie mog? przekraczać 1,7 %.","W przypadku a) i b): zawiera Benzophenone-3 (8)"
"▼B"
"5","Przesunięte lub skreślone"
"6","Kwas 2-fenylenobenzimidazolo-5-sulfonowy i jego sole: potasowa, sodowa, trietanoloaminowa/Ensulizole","Phenylbenzimidazole Sulfonic Acid","27503-81-7","248-502-0","","8 % (w przeliczeniu nakwas)","",""
"7","Kwas 3,3‘(1, 4-fenylenodimetylideno) bis (7,7-dimetylo-2-okso-bicyklo-[2.2.1]hept-1-ylometanosulfonowy) i jego sole/Ecamsule","Terephthalylidene Dicamphor Sulfonic Acid","92761-26-7, 90457-82-2","410-960-6","","10 % (w przeliczeniu na kwas)","",""
"8","1-(4-tert-butylofenylo)-3-(4-metoksyfenylo)propano-1,3-dion/Avobenzone","Butyl Methoxydibenzoylmethane","70356-09-1","274-581-6","","5 %","",""
"9","Kwas alfa-(2-oksoborn-3-ylideno)-tolueno-4-sulfonowy i jego sole","Benzylidene Camphor Sulfonic Acid","56039-58-8","","","6 % (w przeliczeniu na kwas)","",""
"▼M44"
"10","Ester 2-etyloheksylowy kwasu 2-cyjano-3,3- difenyloakrylowego/Octocrylene (7) (8)","Octocrylene","6197-30-4","228-250-8","a) Produkty w sprayu w rozpylaczu b) Pozostałe produkty","a) 9 % b) 10 %","",""
"▼B"
"11","Polimer N-{(2 i 4)-[(2-oksoborn-3-ylideno)metylo]benzylo}akrylamidu","Polyacrylamidomethyl Benzylidene Camphor","113783-61-2","","","6 %","",""
"12","4-metoksycynamonian 2-etyloheksylu/Octinoxate","Ethylhexyl Methoxycinnamate","5466-77-3","226-775-7","","10 %","",""
"13","Etoksylowany kwasy etylo-4-aminobenzowy","PEG-25 PABA","116242-27-4","","","10 %","",""
"14","4-metoksycynamonian izopentylu/Amiloxate","Isoamyl p-Methoxycinnamate","71617-10-2","275-702-5","","10 %","",""
"15","2,4,6-trianilino-(p-karbo-2′-etyloheksylo-1'oksy)-1,3,5-triazyna","Ethylhexyl Triazone","88122-99-0","402-070-1","","5 %","",""
"16","2-(2H-benzotriazol-2-ilo)-4-metylo-6-(2-metylo-3-(1,3,3,3-tetrametylo-1-(trimetylosililo)oksy)-disiloksanylo)propylo)fenol","Drometrizole Trisiloxane","155633-54-8","","","15 %","",""
"17","Ester 4,4-((6-((4-(((1,1-dwumetylo)amino)karbonylo)fenylo)amino)-1,3,5-triazyna-2,4-diylo)diamino)bis-, bis(2-etyloheksylowy) kwasu benzoesowego/Iscotrizinol (USAN)","Diethylhexyl Butamido Triazone","154702-15-5","","","10 %","",""
"18","3-(4-metylobenzylideno)-d-1 kamfora/Enzacamene","4-Methylbenzylidene Camphor","38102-62-4, 36861-47-9","253-242-6","","4 %","",""
"▼M10 —————"
"▼B"
"20","Salicylan 2-etyloheksylu/Octisalate","Ethylhexyl Salicylate","118-60-5","204-263-4","","5 %","",""
"21","2-etyloheksylo 4-(dimetyloamino)benzoesan/Padimate O (USAN:BAN)","Ethylhexyl dimethyl PABA","21245-02-3","244-289-3","","8 %","",""
"22","Kwas 2-hydroksy-4-metoksybenzofenono-5-sulfonowy i jego sól sodowa/Sulisobenzone","Benzophenone-4, Benzophen one-5","4065-45-6, 6628-37-1","223-772-2","","5 % (w przeliczeniu na kwas)","",""
