"ID","INCI","CAS","WE"
"1","(20S)-PROTOPANAXADIOL","30636-90-9","-"
"2","(ADONIS AMURENSIS/AKEBIA QUINATA/ALBIZIA JULIBRISSIN/ALTHAEA ROSEA/ANGELICA ACUTILOBA/ANGELICA ANOMALA/AQUILEGIA BUERGERIANA/ARTEMISIA PRINCEPS/ASTER CILIOSUS/ASTER SCABER/BRASSICA CAMPESTRIS/BROUSSONETIA KAZINOKI/CALLISTEPHUS CHINENSIS/CAMELLIA JAPONICA/CAMELLIA SINENSIS/CAMPSIS GRANDIFLORA/CARAGANA SINICA/CARTHAMUSTINCTORIUS/CASSIA OBTUSIFOLIA/CELOSIA CRISTATA/CERCIS CHINENSIS/CHAENOMELES SINENSIS/CHRYSANTHEMUM INDICUM/CHRYSANTHEMUM ZAWADSKII/CLEMATIS TERNIFLORA/COMMELINA COMMUNIS/CORNUS KOUSA/CORNUS OFFICINALIS/CORYDALIS INCISA/CORYDALIS TURTSCHANINOVII/CUCURBITA MOSCHATE/DENDROBIUM NOBILE/DIANTHUS CHINENSIS/ELSHOLTZIA SPLENDENS/EUPATORIUM LINDLEYANUM/FORSYTHIA KOREANA/FRITILLARIA USSURIENSIS/GARDENIA JASMINOIDES/GINKGO BILOBA/HELIANTHUS ANNUUS/HELIANTHUS TUBEROSUS/HEMEROCALLIS FULVA/HIBISCUS MUTABILIS/HIBISCUS SYRIACUS/HOSTA PLANTAGINAE/HYDRANGEA MACROPHYLLA/IMPATIENS BALSAMINA/IPOMOEA HEDERACEA/IRIS PALLASII/IRIS PSEUDACORUS/KERRIA JAPONICA/LAGERSTROEMIA INDICA/LEONURUS SIBIRICUS/LESPEDEZA BICOLOR/LILIUM LANCIFOLIUM/LINDERA OBTUSILOBA/LIRIOPES MUSCARI/LONICERA JAPONICA/LYCORIS RADIATA/MAGNOLIA KOBUS/MAGNOLIA LILIFLORA/MALUS SIEBOLDII/NARCISSUS TAZETTA/NELUMBO NUCIFERA/OENOTHERA BIENNIS/PAEONIA LACTIFLORA/PAEONIA SUFFRUTICOSA/PAPAVER RHOEAS/PATRINIA SCABIOSIFOLIA/PAULOWNIA COREANA/PERSICARIA THUNBERGII/PETASITES JAPONICUS/PLATYCODON GRANDIFLORUS/POLYGONUM ODORATUM/PONICIRUS TRIFOLIATA/PRUNUS ARMENIACA/PRUNUS MUME/PRUNUS PERSICA/PRUNUS SERRULATA/PRUNUS TOMENTOSA/PUERARIA LOBATA/PUNICA GRANATUM/RHODODENDRON MUCRONULATUM/ROBINIA PSEUDACACIA/ROSA MULTIFLORA/ROSA RUGOSA/SASA BOREALIS/SOPHORA JAPONICA/SPIRAEA PRUNIFOLIA/STYRAX JAPONICA/SYRINGA VULGARIS/TARAXACUM PLATYCARPUM/TULIPA EDULIS/VIOLA MANDSCHURICA/WEIGELA SUBSESSILIS/WISTERIA SINENSIS/ZANTHOXYLUM SCHINIFOLIUM/ZEA MAYS/ZINGIBER MIOGA/ZINNIA ELEGANS) FLOWER EXTRACT","-","-"
"3","(AGARICUS BLAZEI FERMENT + GANODERMA LUCIDUM FERMENT + GANODERMA MULTIPILEUM FERMENT) EXTRACT","-","-"
"4","(ALPINIA ZERUMBET/ARTEMISIA PRINCEPS/AVERRHOA CARAMBOLA/CAMELLIA SINENSIS/ERIOBOTRYA JAPONICA/GINKGO BILOBA/MELISSA OFFICINALIS/MENTHA PIPERITA/OLEA EUROPAEA/ORIGANUM MAJORANA/PERILLA FRUTESCENS/PRUNUS PERSICA/SALVIA OFFICINALIS) LEAF EXTRACT","-","-"
"5","(ANGELICA ACUTILOBA/PAEONIA LACTIFLORA) ROOT/CNIDIUM OFFICINALE RHIZOME EXTRACT","-","-"
"6","(ANGELICA ACUTILOBA/PAEONIA LACTIFLORA/REHMANNIA GLUTINOSA) ROOT/(CNIDIUM OFFICINALE/ZINGIBER OFFICINALE) RHIZOME EXTRACT","-","-"
"7","(ANGELICA ACUTILOBA/PAEONIA LACTIFLORA/REHMANNIA GLUTINOSA) ROOT/CNIDIUM OFFICINALE RHIZOME EXTRACT","-","-"
"8","(ANGELICA ACUTILOBA/PAEONIA LACTIFLORA/REHMANNIA GLUTINOSA/SCUTELLARIA BAICALENSIS) ROOT/(CNIDIUM OFFICINALE/COPTIS CHINENSIS) RHIZOME/GARDENIA JASMINOIDES FRUIT/PHELLODENDRON CHINENSE BARK EXTRACT","-","-"
"9","(ANGELICA GIGAS/CNIDIUM OFFICINALE/PAEONIA LACTIFLORA) ROOT EXTRACT","-","-"
"10","(ANGELICA GIGAS/GLYCYRRHIZA URALENSIS/REHMANNIA GLUTINOSA ROOT)/ANGELICA GIGAS STEM/CARTHAMUS TINCTORIUS FLOWER/(CARTHAMUS TINCTORIUS/PRUNUS PERSICA SEED)PORIA COCOS WATER","-","-"
